threshold,alpha,k,cost_bp,mean_gross_pnl_bp,mean_net_pnl_bp,gross_sharpe,net_sharpe,mean_turnover,avg_abs_position,n_ticker_days
0.0015,1.0,500,0,1.2225558856197523,1.2225558856197523,0.26632091131435826,0.26632091131435826,0.20554433843988626,0.06562293256595854,12188
0.001,1.0,500,0,1.2973355851485735,1.2973355851485735,0.26575204352247284,0.26575204352247284,0.30783389894960844,0.10028533672229892,12188
0.0002,0.5,200,0,0.6781630728967111,0.6781630728967111,0.26563429054319426,0.26563429054319426,0.11187051398552181,0.07651627212109519,12188
0.0005,1.0,100,0,0.6079389815041013,0.6079389815041013,0.26472809692768584,0.26472809692768584,0.122062582426442,0.04222668047063417,12188
0.0002,0.75,100,0,0.5327601139760699,0.5327601139760699,0.2630628429617087,0.2630628429617087,0.0966316205952131,0.046216849670344846,12188
0.0005,0.2,500,0,0.700150485537217,0.700150485537217,0.2600885499877842,0.2600885499877842,0.07836343973789456,0.11929096299017934,12188
0.0,0.75,50,0,0.32385350094372156,0.32385350094372156,0.25583215340329746,0.25583215340329746,0.050191754754675875,0.024406345884177876,12188
0.0,0.3,200,0,0.5401605322710787,0.5401605322710787,0.25468423443959604,0.25468423443959604,0.06446505584063245,0.06959045276041118,12188
0.0001,0.75,50,0,0.3220650186151626,0.3220650186151626,0.2544223800238748,0.2544223800238748,0.050174155082396726,0.024322559100899695,12188
0.001,0.75,500,0,1.0669369062032088,1.0669369062032088,0.2538790445486903,0.2538790445486903,0.2222558218865414,0.0963568265968392,12188
0.0005,1.0,50,0,0.3626607487725719,0.3626607487725719,0.25348559801368775,0.25348559801368775,0.06275655897350857,0.021687705689190626,12188
0.0001,0.3,200,0,0.5374097251852973,0.5374097251852973,0.2533521769355474,0.2533521769355474,0.06444115609182409,0.0694488686188782,12188
0.0002,0.75,50,0,0.31710563828169724,0.31710563828169724,0.25054316315375413,0.25054316315375413,0.04950998717370692,0.023642605887969674,12188
0.0,0.1,500,0,0.543754865370577,0.543754865370577,0.24968226551985898,0.24968226551985898,0.0436843217040596,0.12423621610976161,12188
0.0001,0.1,500,0,0.5410157115442255,0.5410157115442255,0.24846463249082978,0.24846463249082978,0.04368301152336841,0.12393801442236181,12188
0.0002,0.3,200,0,0.5248121877497947,0.5248121877497947,0.24756040681664584,0.24756040681664584,0.06374471688361048,0.06883060535430952,12188
0.0,0.5,100,0,0.42804887650902895,0.42804887650902895,0.2472576274339698,0.2472576274339698,0.059921214256666744,0.04134900664548695,12188
0.0005,0.5,200,0,0.632157205257816,0.632157205257816,0.24719427513757203,0.24719427513757203,0.09982207383830542,0.0671044585461337,12188
0.0005,0.75,100,0,0.5001277409152807,0.5001277409152807,0.24686641439768672,0.24686641439768672,0.08479946848868425,0.03900832312622176,12188
0.0001,0.5,100,0,0.42565678037811105,0.42565678037811105,0.24586667585455538,0.24586667585455538,0.05988276282734898,0.0412593201226008,12188
0.0,0.2,200,0,0.4507012420827941,0.4507012420827941,0.24578411828210686,0.24578411828210686,0.042093935933088494,0.06558640862063737,12188
0.0001,0.2,200,0,0.44883840109271184,0.44883840109271184,0.24472980307276387,0.24472980307276387,0.04209101049294511,0.06544795278799094,12188
0.001,1.0,200,0,0.8107933443953886,0.8107933443953886,0.24262541075180324,0.24262541075180324,0.16433131755360114,0.05362986076851256,12188
0.0002,0.5,100,0,0.4178993061428252,0.4178993061428252,0.2414584646045821,0.2414584646045821,0.05922797094537445,0.04061441655138657,12188
